Id,Submission Time,View Number,Vote Number,Title,Message,Image,Tag
36,1591310429,1229,69,Seamless global strategy,integrate clicks-and-mortar niches,,
41,1540430870,1161,12,Re-engineered static flexibility,brand revolutionary convergence,,
82,1564609493,1152,51,Multi-lateral exuding website,matrix sticky content,,
59,1534352208,1137,125,Secured even-keeled complexity,benchmark proactive mindshare,,
39,1557015938,1124,146,Fundamental uniform complexity,utilize web-enabled web-readiness,,
18,1558416516,1122,81,Triple-buffered next generation toolset,evolve vertical e-commerce,,
30,1597347222,1078,87,Profound user-facing capacity,architect magnetic synergies,,
47,1605104015,1077,59,Synergistic systematic projection,evolve B2C convergence,,
71,1584770323,1042,178,Adaptive modular success,reintermediate one-to-one mindshare,,
45,1570564948,1001,33,Customizable analyzing website,drive scalable solutions,,
58,1538589620,997,16,Monitored didactic challenge,incubate interactive interfaces,,
79,1596101537,996,126,Persistent zero defect projection,evolve clicks-and-mortar mindshare,,
43,1559183762,980,204,User-centric 24/7 neural-net,revolutionize e-business users,,
27,1543113346,962,145,Distributed regional matrices,facilitate e-business action-items,,
72,1589341635,920,130,User-friendly bifurcated paradigm,synergize distributed portals,,
19,1582642700,895,116,Grass-roots disintermediate open architecture,deliver user-centric mindshare,,
96,1583637704,894,127,Optimized 5th generation infrastructure,productize impactful vortals,,
87,1546266122,862,67,Streamlined systemic benchmark,whiteboard cross-platform content,,
5,1551415685,846,85,Persevering contextually-based open architecture,implement 24/7 systems,,
60,1556099028,830,116,Synergistic global portal,disintermediate sticky ROI,,
4,1571509816,823,18,Inverse content-based info-mediaries,reinvent customized partnerships,,
80,1580538110,821,117,Centralized scalable emulation,scale wireless vortals,,
88,1595761794,804,42,Devolved client-server installation,leverage vertical solutions,,
66,1574895517,772,112,Universal client-server architecture,transition frictionless e-tailers,,
22,1583049860,772,144,Decentralized explicit success,grow bricks-and-clicks infrastructures,,
15,1603397302,732,22,Ameliorated even-keeled artificial intelligence,orchestrate cross-platform architectures,,
34,1536029956,690,66,Programmable didactic flexibility,scale synergistic partnerships,,
42,1535894026,682,163,Phased neutral middleware,transition enterprise eyeballs,,
28,1597047744,678,197,Fully-configurable next generation forecast,harness intuitive mindshare,,
83,1584219204,649,120,Devolved solution-oriented forecast,scale turn-key bandwidth,,
1,1565972590,615,28,Multi-channelled cohesive extranet,incubate virtual deliverables,,
100,1551219426,615,192,Synchronised attitude-oriented capability,engage proactive niches,,
29,1548805253,606,109,Polarised maximized ability,maximize visionary interfaces,,
9,1544840120,604,130,Exclusive reciprocal collaboration,empower rich eyeballs,,
38,1558453648,577,140,Extended solution-oriented open system,transform extensible models,,
13,1598185577,540,7,Horizontal foreground model,recontextualize robust systems,,
62,1560707391,538,84,Configurable high-level contingency,innovate end-to-end architectures,,
93,1548012461,537,81,Profound motivating access,drive innovative functionalities,,
92,1556924498,532,102,Organized fault-tolerant knowledge user,implement cross-platform web-readiness,,
49,1592038115,513,14,Implemented zero administration methodology,streamline visionary communities,,
3,1583713464,493,76,Operative demand-driven policy,recontextualize vertical e-commerce,,
17,1562747144,478,197,Mandatory executive intranet,orchestrate cross-platform e-tailers,,
53,1587723426,467,90,Inverse dedicated framework,mesh compelling functionalities,,
48,1561451388,451,158,Open-architected contextually-based budgetary management,optimize wireless partnerships,,
7,1572603416,447,128,Innovative transitional task-force,streamline plug-and-play vortals,,
16,1586448434,435,64,Advanced well-modulated local area network,synergize best-of-breed e-business,,
31,1574586151,391,37,Monitored real-time strategy,orchestrate B2B applications,,
2,1538024900,389,83,Synergized secondary framework,morph back-end technologies,,
46,1564355891,376,148,Self-enabling tangible functionalities,disintermediate revolutionary architectures,,
40,1586359482,329,195,Universal optimal neural-net,architect value-added infrastructures,,
61,1546674057,324,112,Focused bi-directional infrastructure,incentivize cross-platform e-markets,,
26,1534359662,319,40,Multi-lateral full-range matrix,deploy viral communities,,
23,1604598285,308,123,Customer-focused local data-warehouse,e-enable out-of-the-box infomediaries,,
12,1599235799,260,6,Robust client-driven synergy,incubate sexy channels,,
21,1592589208,254,105,Fundamental multimedia flexibility,utilize magnetic communities,,
97,1591665275,240,109,Open-source methodical alliance,generate 24/7 supply-chains,,
56,1551291975,217,153,Profit-focused solution-oriented Graphical User Interface,reintermediate plug-and-play communities,,
99,1590684031,184,169,Object-based needs-based policy,empower vertical content,,
73,1558853575,141,148,Profound disintermediate focus group,morph killer systems,,
81,1607182314,118,92,Polarised system-worthy Graphical User Interface,streamline impactful systems,,
94,1562406260,112,193,Re-contextualized static service-desk,recontextualize sticky e-business,,
76,1592493490,67,60,Triple-buffered web-enabled product,optimize granular vortals,,
70,1582923053,66,123,Cross-platform discrete protocol,harness viral infomediaries,,
84,1582505613,19,89,Synergized object-oriented Graphical User Interface,recontextualize web-enabled networks,,
77,1536568040,19,102,Ameliorated well-modulated matrix,expedite frictionless paradigms,,
155,1493015432,1368,68,Drawing canvas with an image picked with Cordova Camera Plugin,"I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",,
156,1493368154,29,17,How to make lists in Python?,"I am totally new to this, any hints?",,
157,1609348035,2,2,Propozycje na Sylwestra,"Do you think of it ?
",,
158,1609494905,13,0,Question1,Test1,ditu-china.png,Existential
159,1609422189,10,0,What is life?,I'm so confused right now...,new_question.png,
160,1493068124,16,18,Wordpress loading multiple jQuery Versions,"I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();

I could easy managing the loading order with wp_enqueue_script so first I load jquery then I load booklet so everything is fine.

BUT in my theme i also using jquery via webpack so the loading order is now following:

jquery
booklet
app.js (bundled file with webpack, including jquery)",images/image1.png,
161,1609591097,4,0,test 4567,ffffffff,tapeta-swiateczna-figurka-jeza-z-jablkami.jpg,
162,1609359109,52,0,test55,testsks,,"Animal,Home"
